mnemonic,number,id
EDIS,9650,12370
KRTR,3020,10094
PPOL,7150,11991
COMM,3420,554
SANS,3012,10855
ENLT,2511,1068
PLCP,4140,9783
ENMD,3110,1086
CHE,347,3407
CHEM,551,3452
COGS,3960,540
JAPN,2020,8130
ENMC,3559,1079
ENMC,3800,1080
ENMC,4500,1082
ENLT,2524,1071
ENLT,2552,1075
ENMC,8559,1084
ENLT,2547,1073
STAT,4995,9379
ENLT,2526,1072
ENMC,3450,1077
ENLT,2514,1069
ENMC,3810,1081
ENMC,3500,1078
HISA,7559,13337
ENLT,2550,1074
ENMD,3559,1088
ENWR,7310,1133
ENWR,5310,1132
ENWR,8995,1135
ENWR,8999,1136
CHIN,2020,7561
JAPN,3025,8132
KRTR,5020,10096
EP,8970,1140
EP,9970,1142
EP,7592,1138
EP,8999,1141
CHE,398,3408
CHE,448,3409
PLCP,4652,9784
EP,9999,1143
NUCO,4720,13156
ESL,803,1146
ESL,804,1147
LAR,5280,10410
KRTR,3030,10095
JPTR,5100,6866
EP,7993,1139
PPOL,7400,2510
ESL,802,1145
ESL,906,1151
ESL,3010,1144
ESL,908,1153
CLAS,2040,7574
EVHY,5670,1167
CLAS,9995,13511
ETP,3870,1157
EVGE,5820,1164
MUPF,2111,10778
DRAM,2830,13518
EVAT,7999,1160
EVGE,5850,1165
HIUS,341,4580
SANS,6012,10857
JAPN,3110,8133
LAR,5340,8147
KINE,1430,11333
EVSC,2030,1173
EVEC,7999,1163
EVHY,7630,1168
KRTR,5030,10097
EVHY,7999,1169
ARAH,947,3019
ARAH,960,3020
ARAH,961,3021
ARAH,975,3022
STAT,7950,9380
BME,4993,387
COMM,3050,7581
EVSC,3559,1183
KINE,1445,11335
KINE,1440,11334
LAR,5370,1639
SARC,3559,10859
EVSC,4270,1190
EVSC,4290,1191
EVSC,4230,1188
FREN,4031,1224
EVSC,4810,1195
CHE,476,3410
EVSC,4220,1187
NUIP,2070,10803
EVSC,4470,1193
PSHM,3010,11992
